=====第1次考试成绩如下======
姓名：		学号：				语文	数学	英语	物理	化学	政治	总分	校排名	班排名
胡   润		2024034743019		92	73	87	90	95	74	511	5		1


梁亚鼎		2024034743027		90	83	88	79	71	99	510	6		2


周依洋		2024034743020		63	88	93	82	88	95	509	8		3


邓芷萱		2024034743018		50	84	87	98	84	97	500	10		4


邹丽婷		2024034743048		99	87	65	78	78	92	499	11		5


罗森泰		2024034743026		77	85	89	88	80	78	497	14		6


何永胜		2024034743051		90	87	86	83	64	87	497	14		6


王扬全		2024034743033		65	80	86	99	74	93	497	14		8


邓巧倩		2024034743012		91	83	82	87	60	93	496	18		9


刘荣武		2024034743008		89	81	76	86	91	72	495	19		10


陈   述		2024034743016		74	87	84	78	79	93	495	19		10


高彩桦		2024034743039		91	81	73	73	97	79	494	22		12


陈鸿文		2024034743007		86	75	70	75	99	88	493	27		14


关锐斌		2024034743023		78	81	90	84	84	76	493	27		14


林秀清		2024034743017		57	96	87	87	85	80	492	29		16


郑俊玲		2024034743003		94	85	81	77	74	78	489	35		17


蔡子鑫		2024034743022		86	86	73	88	64	91	488	36		18


夏锦华		2024034743009		84	85	81	84	79	75	488	36		18


袁迎彤		2024034743050		71	81	76	87	99	72	486	41		20


陈家智		2024034743030		62	82	87	82	89	83	485	42		21


张姿雅		2024034743053		74	85	91	97	63	74	484	45		22


邓家荣		2024034743045		68	82	69	100	86	78	483	47		23


龙奕豪		2024034743043		95	92	71	66	95	63	482	48		24


肖忆荣		2024034743004		57	70	76	100	78	100	481	49		25


郭嘉润		2024034743046		83	72	92	72	75	87	481	49		25


陈宥佳		2024034743028		70	86	58	78	89	99	480	51		27


练晓菲		2024034743013		85	83	81	63	65	100	477	53		28


林思帆		2024034743035		63	84	82	83	86	77	475	54		29


彭   翔		2024034743021		87	68	81	71	77	89	473	55		30


周健煜		2024034743042		93	72	91	87	86	43	472	57		31


吴琼妍		2024034743047		96	95	48	88	61	81	469	58		32


黄子昊		2024034743029		89	71	72	85	75	77	469	58		32


陈齐益		2024034743031		93	93	72	84	86	40	468	60		34


刘兴伟		2024034743034		93	85	80	58	76	76	468	60		34


杨智盛		2024034743010		86	73	64	83	84	75	465	63		36


陈正杰		2024034743025		93	76	48	86	78	80	461	67		37


庄俊朋		2024034743049		79	87	76	78	76	61	457	69		38


陈锦旺		2024034743040		68	40	84	85	85	94	456	71		39


陈锐嘉		2024034743014		76	69	56	78	90	83	452	77		40


曾焕宇		2024034743001		61	73	81	90	81	66	452	77		40


钟睿宸		2024034743036		77	85	78	49	82	81	452	77		40


叶翠迷		2024034743015		80	83	73	62	83	70	451	81		43


陈崇元		2024034743038		87	74	69	80	60	76	446	86		44


吴铭杰		2024034743011		86	79	79	60	62	79	445	87		45


邱   琪		2024034743002		76	81	78	73	43	83	434	94		46


杨家铭		2024034743032		80	65	61	72	83	70	431	97		47


谢秋江		2024034743024		77	60	63	79	79	73	431	97		47


肖锐宇		2024034743052		62	71	70	66	87	73	429	99		49


李泽滨		2024034743037		68	64	62	71	91	67	423	103		50


何智泓		2024034743044		33	79	65	92	89	63	421	104		51


胡乐康		2024034743006		87	83	63	73	36	78	420	105		52


李潼恩		2024034743005		70	63	54	45	78	82	392	108		53


=====第2次考试成绩如下======
姓名：		学号：				语文	数学	英语	物理	化学	政治	总分	校排名	班排名
陈鸿文		2024034743007		91	75	75	87	100	87	515	3		1


刘兴伟		2024034743034		90	80	79	83	92	88	512	7		2


刘荣武		2024034743008		79	67	95	100	85	84	510	8		3


练晓菲		2024034743013		93	69	97	86	90	73	508	10		4


邓巧倩		2024034743012		93	67	92	90	83	80	505	11		5


陈宥佳		2024034743028		89	82	88	82	63	100	504	13		6


何智泓		2024034743044		85	88	76	83	81	90	503	15		7


陈   述		2024034743016		83	81	91	71	76	100	502	16		8


林秀清		2024034743017		65	80	91	91	75	97	499	19		9


郭嘉润		2024034743046		82	73	73	96	83	88	495	21		10


胡乐康		2024034743006		69	69	70	96	86	94	484	28		11


邹丽婷		2024034743048		78	71	69	88	84	91	481	30		12


周依洋		2024034743020		81	89	91	61	95	64	481	30		12


邓芷萱		2024034743018		66	71	82	92	69	100	480	32		14


胡   润		2024034743019		84	77	51	86	100	82	480	32		14


李潼恩		2024034743005		80	90	100	64	75	69	478	35		16


关锐斌		2024034743023		81	70	99	83	71	73	477	38		17


周健煜		2024034743042		85	88	83	87	66	66	475	42		18


陈家智		2024034743030		71	85	93	63	87	75	474	43		19


黄子昊		2024034743029		85	81	75	88	54	90	473	47		20


陈锦旺		2024034743040		67	84	67	100	83	72	473	47		20


曾焕宇		2024034743001		85	71	94	78	84	60	472	49		22


高彩桦		2024034743039		91	79	66	80	82	69	467	53		24


王扬全		2024034743033		89	71	81	82	81	61	465	55		25


吴琼妍		2024034743047		91	95	92	73	29	84	464	56		26


邱   琪		2024034743002		68	85	87	76	89	57	462	57		27


袁迎彤		2024034743050		90	88	72	79	61	71	461	59		28


杨智盛		2024034743010		83	91	84	57	74	70	459	61		29


肖锐宇		2024034743052		44	90	67	87	69	100	457	62		30


梁亚鼎		2024034743027		89	66	47	68	86	100	456	63		31


陈正杰		2024034743025		81	66	80	75	51	99	452	66		32


陈崇元		2024034743038		99	65	75	82	73	57	451	67		33


彭   翔		2024034743021		81	82	43	70	100	73	449	68		34


郑俊玲		2024034743003		90	61	75	33	100	87	446	71		35


谢秋江		2024034743024		84	68	84	72	80	57	445	72		36


吴铭杰		2024034743011		61	82	73	81	72	75	444	73		37


庄俊朋		2024034743049		62	76	63	65	85	89	440	74		38


龙奕豪		2024034743043		75	63	90	51	91	64	434	77		39


何永胜		2024034743051		69	57	63	84	100	61	434	77		39


叶翠迷		2024034743015		81	75	64	73	68	67	428	81		41


张姿雅		2024034743053		76	78	81	85	29	77	426	83		42


罗森泰		2024034743026		47	68	75	67	86	79	422	86		43


杨家铭		2024034743032		50	83	85	90	80	33	421	87		44


林思帆		2024034743035		73	66	84	35	79	79	416	89		45


钟睿宸		2024034743036		24	70	82	75	100	64	415	90		46


李泽滨		2024034743037		63	73	88	73	30	86	413	91		47


夏锦华		2024034743009		87	69	69	64	38	80	407	92		48


陈锐嘉		2024034743014		60	83	63	89	27	74	396	98		49


蔡子鑫		2024034743022		55	38	66	86	66	62	373	100		50


